Symbol,Sector,Industry,Company_Name
20MICRONS.NS,Basic Materials,Other Industrial Metals & Mining,20 Microns Limited
21STCENMGM.NS,Financial Services,Capital Markets,Twentyfirst Century Management Services Limited
360ONE.NS,Financial Services,Asset Management,360 One Wam Limited
GOLD360.NS,Unknown,Unknown,360 One Mutual Fund - 360 One Gold ETF
SILVER360.NS,Unknown,Unknown,360 One Mutual Fund - 360 One Silver Etf
3IINFOLTD.NS,Technology,Information Technology Services,3i Infotech Limited
3MINDIA.NS,Industrials,Conglomerates,3M India Limited
3PLAND.NS,Unknown,Unknown,3P Land Holdings Ltd
5PAISA.NS,Financial Services,Capital Markets,5paisa Capital Limited
63MOONS.NS,Technology,Software - Application,63 moons technologies limited
ABINFRA.NS,Industrials,Engineering & Construction,A B INFRABUILD LIMITED
A2ZINFRA.NS,Industrials,Engineering & Construction,A2Z Infra Engineering Limited
AAATECH.NS,Technology,Information Technology Services,AAA Technologies Limited
AADHARHFC.NS,Financial Services,Mortgage Finance,AADHAR HOUSING FINANCE L
AAKASH.NS,Energy,Oil & Gas Equipment & Services,Aakash Exploration Services Limited
AARON.NS,Industrials,Specialty Industrial Machinery,Aaron Industries Limited
AARTECH.NS,Industrials,Electrical Equipment & Parts,Aartech Solonics Limited
AARTIDRUGS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Aarti Drugs Limited
AARTIIND.NS,Basic Materials,Specialty Chemicals,Aarti Industries Limited
AARTIPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Aarti Pharmalabs Limited
AARTISURF.NS,Basic Materials,Specialty Chemicals,Aarti Surfactants Limited
AARVI.NS,Industrials,Staffing & Employment Services,Aarvi Encon Limited
AAVAS.NS,Financial Services,Mortgage Finance,Aavas Financiers Limited
ABAN.NS,Energy,Oil & Gas Drilling,Aban Offshore Limited
AFSL.NS,Financial Services,Capital Markets,Abans Financial Services Limited
ABB.NS,Industrials,Specialty Industrial Machinery,ABB India Limited
ABBOTINDIA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Abbott India Limited
ACC.NS,Basic Materials,Building Materials,ACC Limited
ACCELYA.NS,Technology,Information Technology Services,Accelya Solutions India Limited
ACCURACY.NS,Industrials,Integrated Freight & Logistics,Accuracy Shipping Limited
ACEINTEG.NS,Industrials,Staffing & Employment Services,Ace Integrated Solutions Limited
ACMESOLAR.NS,Utilities,Utilities - Renewable,ACME SOLAR HOLDINGS LTD
ACE.NS,Industrials,Farm & Heavy Construction Machinery,Action Construction Equipment Limited
ACUTAAS.NS,Basic Materials,Specialty Chemicals,Acutaas Chemicals Limited
ADANIENSOL.NS,Utilities,Utilities - Independent Power Producers,Adani Energy Solutions Limited
ADANIENT.NS,Energy,Thermal Coal,Adani Enterprises Limited
ADANIGREEN.NS,Utilities,Utilities - Renewable,Adani Green Energy Limited
ADANIPORTS.NS,Industrials,Marine Shipping,Adani Ports and Special Economic Zone Limited
ADANIPOWER.NS,Utilities,Utilities - Independent Power Producers,Adani Power Limited
ATGL.NS,Utilities,Utilities - Regulated Gas,Adani Total Gas Limited
ADFFOODS.NS,Consumer Defensive,Packaged Foods,ADF Foods Limited
ABSLAMC.NS,Financial Services,Asset Management,Aditya Birla Sun Life AMC Limited
ABCAPITAL.NS,Financial Services,Financial Conglomerates,Aditya Birla Capital Limited
ABFRL.NS,Consumer Cyclical,Apparel Manufacturing,Aditya Birla Fashion and Retail Limited
BIRLAMONEY.NS,Financial Services,Capital Markets,Aditya Birla Money Limited
ABREL.NS,Basic Materials,Paper & Paper Products,Aditya Birla Real Estate Limited
AVL.NS,Consumer Cyclical,Specialty Retail,Aditya Vision Limited
BSLGOLDETF.NS,Unknown,Unknown,Aditya Birla Sun Life Gold ETF
BSLNIFTY.NS,Unknown,Unknown,Aditya Birla Sun Life Nifty 50 ETF
ADOR.NS,Industrials,Specialty Industrial Machinery,Ador Welding Limited
ADROITINFO.NS,Technology,Information Technology Services,Adroit Infotech Limited
ADVENZYMES.NS,Basic Materials,Specialty Chemicals,Advanced Enzyme Technologies Limited
ADVANIHOTR.NS,Consumer Cyclical,Lodging,Advani Hotels & Resorts (India) Limited
AEGISLOG.NS,Energy,Oil & Gas Refining & Marketing,AEGIS LOGISTICS LIMITED
AEGISVOPAK.NS,Energy,Oil & Gas Equipment & Services,AEGIS VOPAK TERMINALS LTD
AEROFLEX.NS,Industrials,Metal Fabrication,Aeroflex Industries Limited
AETHER.NS,Basic Materials,Specialty Chemicals,Aether Industries Limited
AFCONS.NS,Industrials,Engineering & Construction,AFCONS INFRASTRUCTURE LTD
AFFLE.NS,Communication Services,Advertising Agencies,Affle 3i Limited
AFFORDABLE.NS,Industrials,Specialty Industrial Machinery,Affordable Robotic & Automation Limited
AGARIND.NS,Basic Materials,Specialty Chemicals,Agarwal Industrial Corporation Limited
AGI.NS,Consumer Cyclical,Packaging & Containers,AGI Greenpac Limited
AGIIL.NS,Real Estate,Real Estate - Development,AGI Infra Limited
AGRITECH.NS,Consumer Defensive,Farm Products,Agri-tech (India) Limited
AGROPHOS.NS,Basic Materials,Agricultural Inputs,Agro Phos (India) Limited
AHLADA.NS,Industrials,Building Products & Equipment,Ahlada Engineers Limited
AHLUCONT.NS,Industrials,Engineering & Construction,Ahluwalia Contracts (India) Limited
AIAENG.NS,Industrials,Specialty Industrial Machinery,AIA Engineering Limited
GOLDTECH.NS,Technology,Information Technology Services,AION-TECH Solutions Limited
AIRAN.NS,Technology,Information Technology Services,Airan Limited
AIROLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Airo Lam Limited
AJANTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Ajanta Pharma Limited
AJAXENGG.NS,Industrials,Farm & Heavy Construction Machinery,AJAX ENGINEERING LIMITED
AJMERA.NS,Real Estate,Real Estate - Development,Ajmera Realty & Infra India Limited
AJOONI.NS,Consumer Defensive,Packaged Foods,Ajooni Biotech Limited
AKASH.NS,Industrials,Engineering & Construction,Akash Infra-Projects Limited
AKG.NS,Industrials,Industrial Distribution,AKG Exim Limited
AFIL.NS,Financial Services,Credit Services,AKME FINTRADE (INDIA) LTD
AKSHOPTFBR.NS,Technology,Communication Equipment,Aksh Optifibre Limited
AKSHAR.NS,Consumer Cyclical,Textile Manufacturing,Akshar Spintex Limited
AKSHARCHEM.NS,Basic Materials,Specialty Chemicals,AksharChem (India) Limited
AKUMS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,AKUMS DRUGS AND PHARMA L
AKZOINDIA.NS,Basic Materials,Specialty Chemicals,Akzo Nobel India Limited
ALANKIT.NS,Technology,Information Technology Services,Alankit Limited
ALBERTDAVD.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Albert David Limited
ALEMBICLTD.NS,Real Estate,Real Estate - Development,Alembic Limited
APLLTD.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Alembic Pharmaceuticals Limited
ALICON.NS,Industrials,Metal Fabrication,Alicon Castalloy Limited
